Topic #,Topic Name,Difficulty,NEETS,Skill_Builder,BBN,BEETLE,AutoTutorKC,AutoTutor DRQ,Dragoon,Tests,Topic Summary,Kurt's Summary,,Topic Summary Link,Topic Summary Moodle Link,Google Docs,NEETs Link,,,,Moodle Links,,,
1,Ohm's Law & Kirchhoff's Law,1,Module1,3,0,2,12,0,3,19,"Ohm's Law and Kirchhoff's Law are the foundation of circuit analysis. These principles explain how voltage, current, and resistance relate to eachother.",https://drive.google.com/drive/folders/0B50YudTp0iGbfjFBdnpUWXpLcXN4ejkxdFgzS3k4SUx5ZXlFbDE2Q1VMWERmdG1uaGI4Skk, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Ohms_and_Kirchhoffs_Laws.html,http://et.x-in-y.com/mod/url/view.php?id=220,https://docs.google.com/document/d/1UFoGFuZiTQVsHgHndTb0dnqau4YGWJu3LhI-VoeJ1nU/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod01%20-%20Matter%20Energy%20and%20DC.pdf-extracted/Mod01%20-%20Matter%20Energy%20and%20DC.pdf.xhtml-pretty.html#109, ,,,http://et.x-in-y.com/mod/url/view.php?id=363,,,
2,Series & Parallel Circuit,2,Module1,0,31,6,6,0,0,13,"The principles behind Series and parallel circuits are different. Each individual type of circuit structure reacts differently with respect to the voltage, current, and resistance.",https://drive.google.com/drive/folders/0B50YudTp0iGbM2F4VTdaU0NHcHM,https://drive.google.com/drive/folders/0B50YudTp0iGbOFRWMmFBb1BIZjQ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Series_Circuits_and_Parallel_Circuits.html,http://et.x-in-y.com/mod/url/view.php?id=221,https://docs.google.com/document/d/1CAxJofROXEFsZ4b_S7rAHe88jD4vKNXf8QFShgGn3HE/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod01%20-%20Matter%20Energy%20and%20DC.pdf-extracted/Mod01%20-%20Matter%20Energy%20and%20DC.pdf.xhtml-pretty.html#126,http://www.andrewmolney.name/neets-web/Mod01%20-%20Matter%20Energy%20and%20DC.pdf-extracted/Mod01%20-%20Matter%20Energy%20and%20DC.pdf.xhtml-pretty.html#156, ,,http://et.x-in-y.com/mod/url/view.php?id=364,http://et.x-in-y.com/mod/url/view.php?id=365,,
3,Series/Parallel Combination,3,Module1,3,15,2,3,0,0,5,Series and parallel combination circuits are important in order to understand electronics. This topic teaches how to analyze these circuits in order to obtain the critical information.,https://drive.google.com/drive/folders/0B50YudTp0iGbfjFBdnpUWXpLcXN4ejkxdFgzS3k4SUx5ZXlFbDE2Q1VMWERmdG1uaGI4Skk, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Series.Parallel_Combination.html,http://et.x-in-y.com/mod/url/view.php?id=348,https://docs.google.com/document/d/1skbL_6FSl-7VIS0AYemSU8qNP9EnVVkrrFz4-mcheAE/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod01%20-%20Matter%20Energy%20and%20DC.pdf-extracted/Mod01%20-%20Matter%20Energy%20and%20DC.pdf.xhtml-pretty.html#184, ,,,http://et.x-in-y.com/mod/url/view.php?id=366,,,
4,Filter,3,Module2,1,0,0,8,2,4,6,"Filters are common in electronics, so it is important to understand them. This topic goes over how filters affect the input signal as well as what circuit components make up a filter.",https://drive.google.com/drive/folders/0B50YudTp0iGbfmN3NFJtbmRoZnQ0Y2FHZkhvTkdqVHR4MWQ5Nm43N2FYSWgzU3VEQlNyUUE, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Filter.html,http://et.x-in-y.com/mod/url/view.php?id=346,https://docs.google.com/document/d/1WUKKIVNsQtboxcnxuT00w6P8KtCYnFclYCdXUHLVm0k/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf-extracted/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf.xhtml-pretty.html#120,http://www.andrewmolney.name/neets-web/Mod02%20-%20AC%20and%20Transformers.pdf-extracted/Mod02%20-%20AC%20and%20Transformers.pdf.xhtml-pretty.html#46,http://www.andrewmolney.name/neets-web/Mod02%20-%20AC%20and%20Transformers.pdf-extracted/Mod02%20-%20AC%20and%20Transformers.pdf.xhtml-pretty.html#116, ,http://et.x-in-y.com/mod/url/view.php?id=367,http://et.x-in-y.com/mod/url/view.php?id=369,http://et.x-in-y.com/mod/url/view.php?id=370,
5,PN Junction,2,Module7,2,0,0,8,2,2,3,"The subject matter that relates to PN Junctions has information about the fundamental operation of diodes. Doping, conductivity, and how this allows a diode to operate will be discussed here.",https://drive.google.com/drive/folders/0B50YudTp0iGbfjFnOGdyT1dYZVJQdmpIUWdXd2lzTGw4RGdONGdoTUp2czR4ZEhfLU1YbFE, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/PN_Junction.html,http://et.x-in-y.com/mod/url/view.php?id=347,https://docs.google.com/document/d/1DQb_mLMhd2MSXlV-JbrdQvmvVAVD3ZMiGyu9Kqu0c78/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf-extracted/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf.xhtml-pretty.html#29, ,,,http://et.x-in-y.com/mod/url/view.php?id=371,,,
6,Rectifier,3,Module7,0,0,0,5,2,0,9,"This topic teaches how rectifiers work and how diodes, as well as AC and DC sources relate to them.",https://drive.google.com/drive/folders/0B50YudTp0iGbfms1VzFBbUNwT0JUZlNtU1ozYUtpVzgxNlp6emJDU1JuX2kzSjloVmhDdUU, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Rectifier.html,http://et.x-in-y.com/mod/url/view.php?id=349,https://docs.google.com/document/d/1d0yQSi01h2pDEU8izhqezaa7MS6dTl5NiRApOgwr5LE/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf-extracted/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf.xhtml-pretty.html#39,http://www.andrewmolney.name/neets-web/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf-extracted/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf.xhtml-pretty.html#110,http://www.andrewmolney.name/neets-web/Mod03%20-%20Circuit%20Protection%20Control%20and%20Measurement.pdf-extracted/Mod03%20-%20Circuit%20Protection%20Control%20and%20Measurement.pdf.xhtml-pretty.html#22,http://www.andrewmolney.name/neets-web/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf-extracted/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf.xhtml-pretty.html#34,http://et.x-in-y.com/mod/url/view.php?id=372,http://et.x-in-y.com/mod/url/view.php?id=373,http://et.x-in-y.com/mod/url/view.php?id=374,http://et.x-in-y.com/mod/url/view.php?id=375
7,Power supply,4,Module6,0,0,0,5,2,0,5,"The power supply, or source voltage, carries information in a signal waveform. The previous subject of rectifier circuits will help in the understanding of this power supply topic.",https://drive.google.com/drive/folders/0B50YudTp0iGbfk9mNUVCSEk0SVpmTXRfUlBKaks5MldpSWhTd0htelhka0haTG1ZaVo0UVk, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Power_Supply.html,http://et.x-in-y.com/mod/url/view.php?id=222,https://docs.google.com/document/d/1WKVeO1xNtIbAzxARyugg7jTPAFoEt8d-jBpamFcIY8o/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf-extracted/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf.xhtml-pretty.html#108, ,,,http://et.x-in-y.com/mod/url/view.php?id=376,,,
8,Diode Limiter & Clamper,3,Module7,0,3,0,7,4,36,14,"Diode limiter and clamper circuits interact with the input signal to give a different output. In this topic, the student will learn how this is done.",https://drive.google.com/drive/folders/0B50YudTp0iGbfmRxY0FPTHdscjZkWlNLZWRwelVWc1h5RFlWVk5ySnJkU0xwdmdhdW5VRm8,https://drive.google.com/drive/folders/0B50YudTp0iGbbHBVM1NmX2Z0UTg,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Diode_Limiter_And_Clamper.html,http://et.x-in-y.com/mod/url/view.php?id=350,https://docs.google.com/document/d/1DwgX9tGGfnLvCXlSbBhrjFnP7xcbFWepZQYSsp-rFGQ/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod03%20-%20Circuit%20Protection%20Control%20and%20Measurement.pdf-extracted/Mod03%20-%20Circuit%20Protection%20Control%20and%20Measurement.pdf.xhtml-pretty.html#86, ,,,http://et.x-in-y.com/mod/url/view.php?id=377,,,
9,Zener Diode & Regulator,4,Module6 & 7,0,0,0,13,4,0,6,"The information in this topic covers Zener diodes and how they are different from other types of diodes. Also, we will discuss how a Zener diode can act as a regulator.",https://drive.google.com/drive/folders/0B50YudTp0iGbfmdWeXh5UVNETFIxZXR3c192VklFVGVUREViN0NrNlhURnZTZGFEVy1qOTQ,https://drive.google.com/drive/folders/0B50YudTp0iGbfldNQ0UybGo1UEgzMHVURFc1MGF5NUFyUGd4T3JYX3RLaVRndlhES0Y2T1U,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Zener_Diode_And_Regulator.html,http://et.x-in-y.com/mod/url/view.php?id=351,https://docs.google.com/document/d/1_R4M33AMh3YhlmX_AfEU7NKNPE0IajHTNAov62QTOqc/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf-extracted/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf.xhtml-pretty.html#115,http://www.andrewmolney.name/neets-web/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf-extracted/Mod06%20-%20Electronic%20Emission%20Tubes%20and%20Power%20Supplies.pdf.xhtml-pretty.html#141, ,,http://et.x-in-y.com/mod/url/view.php?id=378,http://et.x-in-y.com/mod/url/view.php?id=379,,
10,Transistor,3,Module7,0,0,0,7,3,0,5,Transistors are the cornerstone of electronics. The different terminals of the transistor as well as all the seperate modes are explained here.,https://drive.google.com/drive/folders/0B50YudTp0iGbfk9YYm5EZkpJTFlLRVBaSV92b0ZHUWhwMWZCc0RLNlF4eGJHM3Jwckx4MGM, ,http://tokyo.x-in-y.com/hostedResources/topicSummaries/Transistors.html,http://et.x-in-y.com/mod/url/view.php?id=223,https://docs.google.com/document/d/1pok7XCFrKEIQA7kDjn_SgqQ2YCD4yyYToDeWW6D9X1I/edit?usp=sharing,http://www.andrewmolney.name/neets-web/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf-extracted/Mod07%20-%20Solid-State%20Devices%20and%20Power%20Supplies.pdf.xhtml-pretty.html#60, ,,,http://et.x-in-y.com/mod/url/view.php?id=380,,,
