Learning_Resource_Name,Topic,TYPE,GUID,Item ID,Lesson_Name,DocsLink,HTML5 Link,Checked Alignment?,Math,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,,Sum,
,,,,,,,,,,Zener_Diode_Function,Zener_Diode_Behavior_Forward,Zener_Diode_Behavior_Reverse,Zener_Diode_Behavior_Avalanche,Zener_Diode_Structure,Zener_Diode_Parameters,Zener_Diode_Physics,Diode_Physics,Diode_Behavior_Avalanche,Diode_Behavior_Forward,Diode_Behavior_Reverse,CE_Transistor_Behavior,Resistor_Behavior,Ohms_Law_Voltage,Kirchhoffs_Voltage_Law,Kirchhoffs_Current_Law,Superposition,Clamper_Behavior,Positive_Clamper_Behavior,Positive_Biased_Negative_Clamper_Behavior,Positive_Biased_Positive_Clamper_Behavior,Negative_Clamper_Behavior,Negative_Biased_Negative_Clamper_Behavior,Negative_Biased_Positive_Clamper_Behavior,Capacitor_Behavior,Resistor_Capacitor_in_Series_Behavior,Resistor_Inductor_in_Series_Behavior,CE_Transistor_Parameters,Alternating_Current_Behavior,Generator_Behavior,Limiter_Behavior,Parallel_Negative_Limiter_Behavior,Parallel_Negative_Limiter_with_Bias_Behavior,Parallel_Negative_Limiter_with_Negative_Bias_Behavior,Parallel_Negative_Limiter_with_Positive_Bias_Behavior,Parallel_Positive_Limiter_Behavior,Parallel_Positive_Limiter_with_Bias_Behavior,Parallel_Positive_Limiter_with_Negative_Bias_Behavior,Parallel_Positive_Limiter_with_Positive_Bias_Behavior,Series_Negative_Limiter_Behavior,Series_Negative_Limiter_with_Negative_Bias_Behavior,Series_Negative_Limiter_with_Positive_Bias_Behavior,Series_Positive_Limiter_Behavior,Series_Positive_Limiter_with_Negative_Bias_Behavior,Series_Positive_Limiter_with_Positive_Bias_Behavior,CE_Transistor_Physics,CE_Transistor_Function,CE_Transistor_Fixed_Bias_Behavior,CE_Transistor_Voltage_Divider_Bias_Behavior,CE_Transistor_Battery_Bias_Behavior,Zener_Voltage_Regulator_Behavior,Full_Wave_Rectifier_Behavior,Bridge_Rectifier_Behavior,Bridge_Rectifier_with_Capacitor_Behavior,Full_Wave_Rectifier_with_Zener_Behavior,Half_Wave_Rectifier_Behavior,Negative_Half_Wave_Rectifier_Behavior,Positive_Half_Wave_Rectifier_Behavior,Full_Wave_Voltage_Doubler_Behavior,Half_Wave_Voltage_Doubler_Behavior,Voltage_Regulator_Behavior,Voltage_Regulator_Function,Power_Supply_Function,LC_Input_Filter_Behavior,LC_Choke_Input_Filter_Behavior,RC_Input_Filter_Behavior,Invalid_KC_Entry,Basic_Capacitor_Filter_Behavior,AutoTutor_Interactions,Dragoon_Interactions,Zener_Diode_Behavior,Inductor_Behavior,CE_Transistor_Fixed_Bias_DC_Behavior,CE_Transistor_Fixed_Bias_AC_Behavior,CE_Transistor_Voltage_Divider_Bias_DC_Behavior,CE_Transistor_Voltage_Divider_Bias_AC_Behavior,Resistor_Series_Behavior,Resistor_Series_Structure,Resistor_Parallel_Behavior,Resistor_Parallel_Structure,Clamper_Structure,Clamper_Function,Resistor_Structure,CE_Transistor_Fixed_Bias_Function,CE_Transistor_Fixed_Bias_Structure,CB_Transistor_Amplifier_AC_Behavior,CB_Transistor_Amplifier_DC_Behavior,CB_Transistor_Amplifier_Function,CC_Transistor_Amplifier_Function,CC_Transistor_Amplifier_AC_Behavior,CC_Transistor_Amplifier_DC_Behavior,CC_Transistor_Amplifier_Parameter,CC_Transistor_Amplifier_Structure,CE_Push_Pull_Amplifier_AC_Behavior,CE_Push_Pull_Amplifier_DC_Behavior,CE_Push_Pull_Amplifier_Function,CE_Push_Pull_Amplifier_Structure,RC_Coupled_Multistage_Amplifier_AC_Behavior,RC_Coupled_Multistage_Amplifier_DC_Behavior,Transformer_Coupled_Multistage_Amplifier_AC_Function,Transformer_Coupled_Multistage_Amplifier_DC_Function,CB_Amplifier_Structure,Ohms_Law_Current,RC_Input_Filter_Function,Diode_structure,LC_Coupled_Multistage_Amplifier_Function,Direct_Coupled_Multistage_Amplifier_Function,RC_Coupled_Multistage_Amplifier_Function,CE_Transistor_Feedback,CE_Transistor_Fixed_Bias_Behavior,Current_Division_Parameters,VoltageDivider_Parameters,Ohms_Law_Parameter,ComplexEquivalentResistance_Structure,Resistance_Structure,In_Parallel_and_Series_Structure,DiodeVoltage_Function,DiodeCurrent_Function,RC_Circuit_Behavior,,,
BBN-ETContent-P1-1,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
BBN-ETContent-P1-2,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,
BBN-ETContent-P1-3,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
BBN-ETContent-P1-4,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
BBN-ETContent-P1-5,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
BBN-ETContent-P1-6,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
BBN-ETContent-P1-7,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,
BBN-ETContent-P1-8,CE Amplifier,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,
BBN-ETContent-P2-9,Diode Limiter & Clamper,BBN,,Circuit Reasoning,,Link,,x,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,
